Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testSuiteForDealerNSTP,Chrome 126.0.0.0,,,23-06-2024 09:57:27,23-06-2024 10:02:24,4m - 56.849s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LoginPage,Chrome 126.0.0.0,,,23-06-2024 09:57:28,23-06-2024 09:57:57,29.433s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,23-06-2024 09:57:29,23-06-2024 09:57:55,25.601s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:57:57,23-06-2024 09:57:57,0.016s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/HomePage,Chrome 126.0.0.0,,,23-06-2024 09:57:57,23-06-2024 09:58:09,11.392s,PASSED
homePage.homePage.homepage(),Chrome 126.0.0.0,,,23-06-2024 09:57:58,23-06-2024 09:58:07,8.861s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:58:09,23-06-2024 09:58:09,0.002s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/SelectAutoLoan,Chrome 126.0.0.0,,,23-06-2024 09:58:09,23-06-2024 09:58:27,18.503s,PASSED
autoLoanProtal.SelectAutoLoan.clickToDigitalApplication(),Chrome 126.0.0.0,,,23-06-2024 09:58:09,23-06-2024 09:58:25,16.241s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:58:27,23-06-2024 09:58:27,0.003s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LetsgetStarted,Chrome 126.0.0.0,,,23-06-2024 09:58:27,23-06-2024 09:58:47,19.697s,PASSED
autoLoanProtal.letsGetStarted.letsGetStartedBtnFun(),Chrome 126.0.0.0,,,23-06-2024 09:58:27,23-06-2024 09:58:45,17.465s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:58:47,23-06-2024 09:58:47,0.002s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LoanDetails,Chrome 126.0.0.0,,,23-06-2024 09:58:47,23-06-2024 09:59:22,35.225s,PASSED
"autoLoanProtal.LoanDetails.loanDetail(brand, unitDescription, loanTerm, downpaymentValue, actualCashOut, insuranceType)",Chrome 126.0.0.0,,,23-06-2024 09:58:47,23-06-2024 09:59:20,32.736s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:59:22,23-06-2024 09:59:22,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/NSTPPortal/BorrowerDetailNSTP,Chrome 126.0.0.0,,,23-06-2024 09:59:22,23-06-2024 09:59:42,19.351s,PASSED
"autoLoanProtal.Borrower_Detail.borrower_DetailsForNSTP(fst_Name, mid_Name, lst_Name, email, mob_Num, date, maritalStatus, suffix, residence)",Chrome 126.0.0.0,,,23-06-2024 09:59:23,23-06-2024 09:59:40,17.123s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:59:42,23-06-2024 09:59:42,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/ConfirmationPage,Chrome 126.0.0.0,,,23-06-2024 09:59:42,23-06-2024 09:59:52,9.970s,PASSED
autoLoanProtal.confirmationPage.editOnConfirmationPage(),Chrome 126.0.0.0,,,23-06-2024 09:59:42,23-06-2024 09:59:50,7.805s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 09:59:52,23-06-2024 09:59:52,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/InitialCheckingWithAPI,Chrome 126.0.0.0,,,23-06-2024 09:59:52,23-06-2024 10:00:01,8.998s,PASSED
autoLoanProtal.initial_Confirmation.initial_conf(),Chrome 126.0.0.0,,,23-06-2024 09:59:52,23-06-2024 09:59:59,6.799s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:00:01,23-06-2024 10:00:01,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/AdditionalPageWithAPI,Chrome 126.0.0.0,,,23-06-2024 10:00:01,23-06-2024 10:00:33,31.578s,PASSED
"autoLoanProtal.AdditionalInformationWithAPI.borrowersDetail(nationality, visaType, sex, occupation, idType, idNumber, accountNumber)",Chrome 126.0.0.0,,,23-06-2024 10:00:01,23-06-2024 10:00:10,8.320s,PASSED
"autoLoanProtal.AdditionalInformationWithAPI.homeAddress(country, region, province, townCityMunicipality, barangay, streetName, unitNoBldgNameBldgNoVillageSubdivision)",Chrome 126.0.0.0,,,23-06-2024 10:00:10,23-06-2024 10:00:19,9.780s,PASSED
"autoLoanProtal.AdditionalInformationWithAPI.coBorrowersDetails(coBorrowerRelationshipWithBorrower, coBorrowerFirstName, coBorrowerMiddleName, coBorrowerLastName, coBorrowerSuffix)",Chrome 126.0.0.0,,,23-06-2024 10:00:19,23-06-2024 10:00:31,11.146s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:00:33,23-06-2024 10:00:33,0.001s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/DocumentUploadPageWithout,Chrome 126.0.0.0,,,23-06-2024 10:00:33,23-06-2024 10:02:10,1m - 37.721s,PASSED
autoLoanProtal.UploadYourDocuments.uploadYourDocumentsPage(),Chrome 126.0.0.0,,,23-06-2024 10:00:33,23-06-2024 10:02:08,1m - 35.527s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:02:10,23-06-2024 10:02:10,0.001s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/NSTPPortal/SubmitPageProceedToBackOffice,Chrome 126.0.0.0,,,23-06-2024 10:02:10,23-06-2024 10:02:24,13.817s,PASSED
