Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testSuiteForEncoderNSTP,Chrome 126.0.0.0,,,23-06-2024 10:22:25,23-06-2024 10:26:11,3m - 45.616s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/LoginPage,Chrome 126.0.0.0,,,23-06-2024 10:22:25,23-06-2024 10:22:47,21.718s,PASSED
encoder.LoginForibpsEncoder.login(),Chrome 126.0.0.0,,,23-06-2024 10:22:26,23-06-2024 10:22:45,18.993s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:22:47,23-06-2024 10:22:47,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/HomePage,Chrome 126.0.0.0,,,23-06-2024 10:22:47,23-06-2024 10:23:06,18.853s,PASSED
encoder.HomePageForibpsEncoder.selectResistration(),Chrome 126.0.0.0,,,23-06-2024 10:22:47,23-06-2024 10:23:04,16.716s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:23:06,23-06-2024 10:23:06,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/ClientInformation,Chrome 126.0.0.0,,,23-06-2024 10:23:06,23-06-2024 10:24:24,1m - 17.920s,PASSED
tabSection.CustomerDetail.clientInformationForEncoderNSTP(),Chrome 126.0.0.0,,,23-06-2024 10:23:06,23-06-2024 10:24:22,1m - 15.704s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:24:24,23-06-2024 10:24:24,0.001s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/LoanInformation,Chrome 126.0.0.0,,,23-06-2024 10:24:24,23-06-2024 10:24:27,2.852s,PASSED
tabSection.LoanInformation.loanInfoForEncoder(),Chrome 126.0.0.0,,,23-06-2024 10:24:24,23-06-2024 10:24:25,0.724s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:24:27,23-06-2024 10:24:27,0.001s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/DocumentChecklist,Chrome 126.0.0.0,,,23-06-2024 10:24:27,23-06-2024 10:24:30,3.177s,PASSED
tabSection.DocumentCheckList.documentCheckListForEncoder(),Chrome 126.0.0.0,,,23-06-2024 10:24:27,23-06-2024 10:24:28,1.035s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:24:30,23-06-2024 10:24:30,0.001s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/CollateralInformation,Chrome 126.0.0.0,,,23-06-2024 10:24:30,23-06-2024 10:24:32,2.494s,PASSED
tabSection.CollateralInformation.collateralInformationForEncoder(),Chrome 126.0.0.0,,,23-06-2024 10:24:30,23-06-2024 10:24:30,0.374s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:24:32,23-06-2024 10:24:32,0.001s,PASSED
,,,,,,,
Test Cases/AccuityNSTP/Encoder/checkEligibility,Chrome 126.0.0.0,,,23-06-2024 10:24:32,23-06-2024 10:25:35,1m - 2.827s,PASSED
tabSection.CheckEligibility.checkEligibilityForEncoderNSTPAccuity(),Chrome 126.0.0.0,,,23-06-2024 10:24:33,23-06-2024 10:25:33,1m - 0.595s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:25:35,23-06-2024 10:25:35,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForEncoderNSTP/CreditEvaluation,Chrome 126.0.0.0,,,23-06-2024 10:25:35,23-06-2024 10:25:38,2.566s,PASSED
tabSection.CreditEvaluation.creditEvaluationForEncoderNSTP(),Chrome 126.0.0.0,,,23-06-2024 10:25:35,23-06-2024 10:25:36,0.444s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 10:25:38,23-06-2024 10:25:38,0.001s,PASSED
,,,,,,,
