Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PaperBasedPortal,Chrome 126.0.0.0,,,23-06-2024 13:32:44,23-06-2024 13:37:53,5m - 8.726s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LoginPage,Chrome 126.0.0.0,,,23-06-2024 13:32:45,23-06-2024 13:33:16,31.057s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,23-06-2024 13:32:48,23-06-2024 13:33:14,25.761s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:33:16,23-06-2024 13:33:16,0.003s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/HomePage,Chrome 126.0.0.0,,,23-06-2024 13:33:16,23-06-2024 13:33:26,10.144s,PASSED
homePage.homePage.homepage(),Chrome 126.0.0.0,,,23-06-2024 13:33:16,23-06-2024 13:33:24,7.688s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:33:26,23-06-2024 13:33:26,0.004s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/SelectPaperBased,Chrome 126.0.0.0,,,23-06-2024 13:33:26,23-06-2024 13:34:09,43.258s,PASSED
paperBasedPortal.SelectPaperBased.paperBased(),Chrome 126.0.0.0,,,23-06-2024 13:33:26,23-06-2024 13:34:07,40.730s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:34:09,23-06-2024 13:34:09,0.004s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LetsgetStarted,Chrome 126.0.0.0,,,23-06-2024 13:34:09,23-06-2024 13:34:25,15.890s,PASSED
paperBasedPortal.letsGetStarted.letsGetStartedBtnFun(),Chrome 126.0.0.0,,,23-06-2024 13:34:10,23-06-2024 13:34:23,13.474s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:34:25,23-06-2024 13:34:25,0.003s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/BorrowerDetail,Chrome 126.0.0.0,,,23-06-2024 13:34:25,23-06-2024 13:35:10,44.568s,PASSED
"paperBasedPortal.Borrower_Detail.borrower_Details(fst_Name, mid_Name, lst_Name, email, mob_Num, date, maritalStatus, suffix, residence)",Chrome 126.0.0.0,,,23-06-2024 13:34:26,23-06-2024 13:35:08,41.904s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:35:10,23-06-2024 13:35:10,0.004s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/DocumentUploadPage,Chrome 126.0.0.0,,,23-06-2024 13:35:10,23-06-2024 13:37:35,2m - 25.024s,PASSED
paperBasedPortal.UploadYourDocuments.uploadYourDocumentsPage(),Chrome 126.0.0.0,,,23-06-2024 13:35:10,23-06-2024 13:37:32,2m - 21.854s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:37:35,23-06-2024 13:37:35,0.008s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/SubmitPageForBackOffice,Chrome 126.0.0.0,,,23-06-2024 13:37:35,23-06-2024 13:37:53,17.828s,PASSED
paperBasedPortal.SubmitPage.proceedToPreReleaseFun(),Chrome 126.0.0.0,,,23-06-2024 13:37:36,23-06-2024 13:37:51,14.306s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:37:53,23-06-2024 13:37:53,0.007s,PASSED
