Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PreAndPost,Chrome 126.0.0.0,,,23-06-2024 13:50:38,23-06-2024 14:00:10,9m - 31.660s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/LoginPage,Chrome 126.0.0.0,,,23-06-2024 13:50:39,23-06-2024 13:51:11,32.700s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,23-06-2024 13:50:40,23-06-2024 13:51:09,28.603s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:51:11,23-06-2024 13:51:11,0.003s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/homepage,Chrome 126.0.0.0,,,23-06-2024 13:51:11,23-06-2024 13:53:07,1m - 56.139s,PASSED
autoLoanProtal.SelectManageLoans.selectToManageLoan(),Chrome 126.0.0.0,,,23-06-2024 13:51:11,23-06-2024 13:53:05,1m - 53.707s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:53:07,23-06-2024 13:53:07,0.004s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/ApplicationPageForPreAndPost,Chrome 126.0.0.0,,,23-06-2024 13:53:07,23-06-2024 13:53:48,40.579s,PASSED
"tabSection.ApplicationSection.applicationSectionTab(show, sortBy)",Chrome 126.0.0.0,,,23-06-2024 13:53:08,23-06-2024 13:53:46,38.068s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:53:48,23-06-2024 13:53:48,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/CustomerDetailForPreRelease,Chrome 126.0.0.0,,,23-06-2024 13:53:48,23-06-2024 13:54:01,12.503s,PASSED
tabSection.CustomerDetail.clientInformationForPreRelease(),Chrome 126.0.0.0,,,23-06-2024 13:53:49,23-06-2024 13:53:58,9.804s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:54:01,23-06-2024 13:54:01,0.003s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/LoanInformation,Chrome 126.0.0.0,,,23-06-2024 13:54:01,23-06-2024 13:54:25,23.910s,PASSED
tabSection.LoanInformation.loanInfoForPrereleasePaperbasedWithWithout(),Chrome 126.0.0.0,,,23-06-2024 13:54:01,23-06-2024 13:54:22,21.686s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:54:25,23-06-2024 13:54:25,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/DocumentChecklist,Chrome 126.0.0.0,,,23-06-2024 13:54:25,23-06-2024 13:57:07,2m - 42.497s,PASSED
tabSection.DocumentCheckList.documentCheckListForPreReleasePaperbased(),Chrome 126.0.0.0,,,23-06-2024 13:54:25,23-06-2024 13:57:05,2m - 39.992s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:57:07,23-06-2024 13:57:07,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/CollateralInfo,Chrome 126.0.0.0,,,23-06-2024 13:57:07,23-06-2024 13:57:15,8.161s,PASSED
tabSection.CollateralInformation.collateralInformationForPrereleasePaperbased(),Chrome 126.0.0.0,,,23-06-2024 13:57:07,23-06-2024 13:57:13,5.948s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:57:15,23-06-2024 13:57:15,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/DisbursmentInfoNew,Chrome 126.0.0.0,,,23-06-2024 13:57:15,23-06-2024 13:58:05,50.249s,PASSED
"click(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/disbursementInformation""))",Chrome 126.0.0.0,,,23-06-2024 13:57:16,23-06-2024 13:57:16,0.662s,PASSED
"click(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/plusIcon""))",Chrome 126.0.0.0,,,23-06-2024 13:57:16,23-06-2024 13:57:18,1.998s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/payeeName""), 1, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,23-06-2024 13:57:18,23-06-2024 13:57:20,1.817s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/modeOfDisbursement""), 1, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,23-06-2024 13:57:20,23-06-2024 13:57:21,0.819s,PASSED
"click(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/saveAndClose""))",Chrome 126.0.0.0,,,23-06-2024 13:57:21,23-06-2024 13:57:24,3.279s,PASSED
"click(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/actionTab""))",Chrome 126.0.0.0,,,23-06-2024 13:57:24,23-06-2024 13:57:26,2.321s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/selectSubmit""), 1, STOP_ON_FAILURE)",Chrome 126.0.0.0,,,23-06-2024 13:57:26,23-06-2024 13:57:29,2.513s,PASSED
"setText(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/decision""), ""ok"")",Chrome 126.0.0.0,,,23-06-2024 13:57:29,23-06-2024 13:57:30,0.606s,PASSED
"click(findTestObject(""Object Repository/DisbursementInfoNew/DisbursementInfoAndSubmit/button_Submit""))",Chrome 126.0.0.0,,,23-06-2024 13:57:30,23-06-2024 13:57:34,3.946s,PASSED
currentWindow = getWindowTitle(),Chrome 126.0.0.0,,,23-06-2024 13:57:34,23-06-2024 13:57:34,0.080s,PASSED
"click(findTestObject(""Object Repository/Action/confirmYes""))",Chrome 126.0.0.0,,,23-06-2024 13:57:34,23-06-2024 13:58:01,27.473s,PASSED
delay(2),Chrome 126.0.0.0,,,23-06-2024 13:58:01,23-06-2024 13:58:03,2.027s,PASSED
"if (!(currentWindow.equalsIgnoreCase(""LoanPortal"")))",Chrome 126.0.0.0,,,23-06-2024 13:58:03,23-06-2024 13:58:03,0.196s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:58:05,23-06-2024 13:58:05,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/ApplicationPageForPreAndPost,Chrome 126.0.0.0,,,23-06-2024 13:58:06,23-06-2024 13:58:52,46.546s,PASSED
"tabSection.ApplicationSection.applicationSectionTab(show, sortBy)",Chrome 126.0.0.0,,,23-06-2024 13:58:06,23-06-2024 13:58:50,44.321s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 13:58:52,23-06-2024 13:58:52,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/PreAndPostRelease/PostRelease,Chrome 126.0.0.0,,,23-06-2024 13:58:52,23-06-2024 14:00:10,1m - 17.509s,PASSED
postRelease.PostReleaseSubmit.submit_post_release(),Chrome 126.0.0.0,,,23-06-2024 13:58:52,23-06-2024 14:00:07,1m - 15.064s,PASSED
Video,Chrome 126.0.0.0,,,23-06-2024 14:00:10,23-06-2024 14:00:10,0.002s,PASSED
