Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EncoderForWith,Chrome 126.0.0.0,,,24-06-2024 10:34:12,24-06-2024 10:41:43,7m - 31.358s,FAILED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/LoginPage,Chrome 126.0.0.0,,,24-06-2024 10:34:13,24-06-2024 10:34:32,19.860s,PASSED
encoder.LoginForibpsEncoder.login(),Chrome 126.0.0.0,,,24-06-2024 10:34:15,24-06-2024 10:34:30,15.811s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 10:34:32,24-06-2024 10:34:32,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/HomePage,Chrome 126.0.0.0,,,24-06-2024 10:34:32,24-06-2024 10:35:02,29.324s,PASSED
encoder.HomePageForibpsEncoder.selectResistration(),Chrome 126.0.0.0,,,24-06-2024 10:34:33,24-06-2024 10:35:00,27.043s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 10:35:02,24-06-2024 10:35:02,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/ClientInformationWithAPI,Chrome 126.0.0.0,,,24-06-2024 10:35:02,24-06-2024 10:36:19,1m - 17.646s,PASSED
tabSection.CustomerDetail.clientInformationForEncoderPaperBasedWith(),Chrome 126.0.0.0,,,24-06-2024 10:35:02,24-06-2024 10:36:17,1m - 15.279s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 10:36:19,24-06-2024 10:36:19,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CollateralInformationWith,Chrome 126.0.0.0,,,24-06-2024 10:36:19,24-06-2024 10:36:32,12.984s,PASSED
tabSection.CollateralInformation.collateralInformationForEncoderPaperBasedWith(),Chrome 126.0.0.0,,,24-06-2024 10:36:20,24-06-2024 10:36:30,10.756s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 10:36:32,24-06-2024 10:36:32,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/LoanInformationWithAPI,Chrome 126.0.0.0,,,24-06-2024 10:36:33,24-06-2024 10:37:28,55.020s,PASSED
