Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fulfillment,Chrome 126.0.0.0,,,24-06-2024 11:00:56,24-06-2024 11:04:20,3m - 23.116s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/LoginPage,Chrome 126.0.0.0,,,24-06-2024 11:00:57,24-06-2024 11:01:24,27.222s,PASSED
fulfillment.LoginForibpsFullFillment.login(),Chrome 126.0.0.0,,,24-06-2024 11:00:58,24-06-2024 11:01:22,23.839s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:01:24,24-06-2024 11:01:24,0.007s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/HomePage,Chrome 126.0.0.0,,,24-06-2024 11:01:24,24-06-2024 11:01:38,13.649s,PASSED
fulfillment.HomePageForibpsFullFillment.selectResistration(),Chrome 126.0.0.0,,,24-06-2024 11:01:24,24-06-2024 11:01:36,11.394s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:01:38,24-06-2024 11:01:38,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/ClientInformation,Chrome 126.0.0.0,,,24-06-2024 11:01:38,24-06-2024 11:01:48,9.921s,PASSED
tabSection.CustomerDetail.clientInformationForFullfillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:01:38,24-06-2024 11:01:45,7.751s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:01:48,24-06-2024 11:01:48,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/LoanInformation,Chrome 126.0.0.0,,,24-06-2024 11:01:48,24-06-2024 11:02:03,15.744s,PASSED
tabSection.LoanInformation.loanInfoForFullFillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:01:48,24-06-2024 11:02:01,13.586s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:03,24-06-2024 11:02:03,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/DocumentChecklist,Chrome 126.0.0.0,,,24-06-2024 11:02:03,24-06-2024 11:02:11,7.993s,PASSED
tabSection.DocumentCheckList.documentCheckListForFullfillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:02:03,24-06-2024 11:02:09,5.820s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:11,24-06-2024 11:02:11,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/CollateralInformation,Chrome 126.0.0.0,,,24-06-2024 11:02:11,24-06-2024 11:02:17,5.832s,PASSED
tabSection.CollateralInformation.collateralInformationForFullfillmentPaperbased(),Chrome 126.0.0.0,,,24-06-2024 11:02:11,24-06-2024 11:02:15,3.696s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:17,24-06-2024 11:02:17,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/CheckEligibility,Chrome 126.0.0.0,,,24-06-2024 11:02:17,24-06-2024 11:02:23,5.825s,PASSED
tabSection.CheckEligibility.checkEligibilityForFullfillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:02:17,24-06-2024 11:02:21,3.650s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:23,24-06-2024 11:02:23,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/CreditEvaluation,Chrome 126.0.0.0,,,24-06-2024 11:02:23,24-06-2024 11:02:29,5.772s,PASSED
tabSection.CreditEvaluation.creditEvaluationForFullfillmentPaperbased(),Chrome 126.0.0.0,,,24-06-2024 11:02:23,24-06-2024 11:02:27,3.628s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:29,24-06-2024 11:02:29,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/Deviations,Chrome 126.0.0.0,,,24-06-2024 11:02:29,24-06-2024 11:02:35,5.888s,PASSED
tabSection.Deviation.deviationForFullfillmentPaperbased(),Chrome 126.0.0.0,,,24-06-2024 11:02:29,24-06-2024 11:02:33,3.690s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:35,24-06-2024 11:02:35,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/CreditInvestigation,Chrome 126.0.0.0,,,24-06-2024 11:02:35,24-06-2024 11:02:41,6.275s,PASSED
tabSection.CreditInvestigation.creditInvestigationForFullfillmentPaperbased(),Chrome 126.0.0.0,,,24-06-2024 11:02:35,24-06-2024 11:02:39,4.024s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:41,24-06-2024 11:02:41,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/InsuranceInformation,Chrome 126.0.0.0,,,24-06-2024 11:02:41,24-06-2024 11:02:53,11.771s,PASSED
tabSection.InsuranceInformation.insuranceInformationForFullfillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:02:41,24-06-2024 11:02:51,9.606s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:02:53,24-06-2024 11:02:53,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/DisbursementInformation,Chrome 126.0.0.0,,,24-06-2024 11:02:53,24-06-2024 11:03:01,8.129s,PASSED
tabSection.DisbursementInfo.disbursementInformationForFullfillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:02:53,24-06-2024 11:02:59,5.989s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:03:01,24-06-2024 11:03:01,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/SystemInterfaceStatus,Chrome 126.0.0.0,,,24-06-2024 11:03:01,24-06-2024 11:03:07,6.160s,PASSED
tabSection.SystemInterfaceStatus.systemInterfaceStatusForFullfillmentPaperbased(),Chrome 126.0.0.0,,,24-06-2024 11:03:01,24-06-2024 11:03:05,3.990s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:03:07,24-06-2024 11:03:07,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/AlertSummary,Chrome 126.0.0.0,,,24-06-2024 11:03:07,24-06-2024 11:03:13,6.000s,PASSED
tabSection.AlertsSummary.alertsSummaryForFullfillmentPaperbase(),Chrome 126.0.0.0,,,24-06-2024 11:03:07,24-06-2024 11:03:11,3.867s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:03:13,24-06-2024 11:03:13,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Fullfillment/Action,Chrome 126.0.0.0,,,24-06-2024 11:03:13,24-06-2024 11:04:03,50.303s,PASSED
tabSection.Action.submitForAO(),Chrome 126.0.0.0,,,24-06-2024 11:03:13,24-06-2024 11:04:01,48.081s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:04:03,24-06-2024 11:04:03,0.002s,PASSED
,,,,,,,
Test Cases/LogOut/logout,Chrome 126.0.0.0,,,24-06-2024 11:04:03,24-06-2024 11:04:20,16.276s,PASSED
signOutibps.SignOut.logout(),Chrome 126.0.0.0,,,24-06-2024 11:04:03,24-06-2024 11:04:18,14.075s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:04:20,24-06-2024 11:04:20,0.001s,PASSED
