Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AO,Chrome 126.0.0.0,,,24-06-2024 12:07:22,24-06-2024 12:10:24,3m - 2.048s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/LoginPageForAO,Chrome 126.0.0.0,,,24-06-2024 12:07:22,24-06-2024 12:07:41,19.453s,PASSED
accountOfficer.LoginForibpsAO.login(),Chrome 126.0.0.0,,,24-06-2024 12:07:23,24-06-2024 12:07:39,16.288s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:07:41,24-06-2024 12:07:41,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/HomePageForAO,Chrome 126.0.0.0,,,24-06-2024 12:07:41,24-06-2024 12:07:55,13.314s,PASSED
accountOfficerForPaper.HomePageForibpsAO.selectResistration(),Chrome 126.0.0.0,,,24-06-2024 12:07:41,24-06-2024 12:07:52,11.111s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:07:55,24-06-2024 12:07:55,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/CustomerDetailForAO,Chrome 126.0.0.0,,,24-06-2024 12:07:55,24-06-2024 12:08:05,10.056s,PASSED
tabSection.CustomerDetail.clientInformationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:07:55,24-06-2024 12:08:03,7.890s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:05,24-06-2024 12:08:05,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/Loan InformationForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:05,24-06-2024 12:08:13,8.682s,PASSED
tabSection.LoanInformation.loanInfoForAOWithoutPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:05,24-06-2024 12:08:11,6.554s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:13,24-06-2024 12:08:13,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/DocumentChecklistForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:13,24-06-2024 12:08:20,7.069s,PASSED
tabSection.DocumentCheckList.documentCheckListForAOpaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:13,24-06-2024 12:08:18,4.931s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:20,24-06-2024 12:08:20,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/CollateralInformationForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:20,24-06-2024 12:08:26,5.675s,PASSED
tabSection.CollateralInformation.collateralInformationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:20,24-06-2024 12:08:24,3.552s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:26,24-06-2024 12:08:26,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/CheckEligibilityForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:26,24-06-2024 12:08:32,5.767s,PASSED
tabSection.CheckEligibility.checkEligibilityForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:26,24-06-2024 12:08:30,3.640s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:32,24-06-2024 12:08:32,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/CreditEvaluationForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:32,24-06-2024 12:08:38,5.686s,PASSED
tabSection.CreditEvaluation.creditEvaluationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:32,24-06-2024 12:08:36,3.566s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:38,24-06-2024 12:08:38,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/DevlationsForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:38,24-06-2024 12:08:43,5.679s,PASSED
tabSection.Deviation.deviationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:38,24-06-2024 12:08:41,3.526s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:43,24-06-2024 12:08:43,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/CreditInvestigationForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:43,24-06-2024 12:08:49,6.037s,PASSED
tabSection.CreditInvestigation.creditInvestigationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:43,24-06-2024 12:08:47,3.899s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:49,24-06-2024 12:08:49,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/InsuranceInformationForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:49,24-06-2024 12:08:55,6.013s,PASSED
tabSection.InsuranceInformation.insuranceInformationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:49,24-06-2024 12:08:53,3.896s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:08:55,24-06-2024 12:08:55,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/DisbursmentInformationForAO,Chrome 126.0.0.0,,,24-06-2024 12:08:55,24-06-2024 12:09:12,16.399s,PASSED
tabSection.DisbursementInfo.disbursementInformationForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:08:55,24-06-2024 12:09:10,14.274s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:09:12,24-06-2024 12:09:12,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/AlertSummaryForAO,Chrome 126.0.0.0,,,24-06-2024 12:09:12,24-06-2024 12:09:18,6.136s,PASSED
tabSection.AlertsSummary.alertsSummaryForAOPaperbase(),Chrome 126.0.0.0,,,24-06-2024 12:09:12,24-06-2024 12:09:16,3.952s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:09:18,24-06-2024 12:09:18,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/AO/Action,Chrome 126.0.0.0,,,24-06-2024 12:09:18,24-06-2024 12:10:08,49.747s,PASSED
tabSection.Action.submitForAO(),Chrome 126.0.0.0,,,24-06-2024 12:09:18,24-06-2024 12:10:06,47.538s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:10:08,24-06-2024 12:10:08,0.001s,PASSED
,,,,,,,
Test Cases/LogOut/logout,Chrome 126.0.0.0,,,24-06-2024 12:10:08,24-06-2024 12:10:24,15.982s,PASSED
signOutibps.SignOut.logout(),Chrome 126.0.0.0,,,24-06-2024 12:10:08,24-06-2024 12:10:22,13.824s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:10:24,24-06-2024 12:10:24,0.001s,PASSED
