Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EncoderForWithout,Chrome 126.0.0.0,,,24-06-2024 11:53:38,24-06-2024 12:01:13,7m - 35.899s,FAILED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/LoginPage,Chrome 126.0.0.0,,,24-06-2024 11:53:38,24-06-2024 11:54:01,22.831s,PASSED
encoder.LoginForibpsEncoder.login(),Chrome 126.0.0.0,,,24-06-2024 11:53:39,24-06-2024 11:53:59,19.495s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:54:01,24-06-2024 11:54:01,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/HomePage,Chrome 126.0.0.0,,,24-06-2024 11:54:01,24-06-2024 11:54:29,27.849s,PASSED
encoder.HomePageForibpsEncoder.selectResistration(),Chrome 126.0.0.0,,,24-06-2024 11:54:01,24-06-2024 11:54:26,25.635s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:54:29,24-06-2024 11:54:29,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/ClientInformation,Chrome 126.0.0.0,,,24-06-2024 11:54:29,24-06-2024 11:55:46,1m - 17.677s,PASSED
tabSection.CustomerDetail.clientInformationForEncoderPaperBased(),Chrome 126.0.0.0,,,24-06-2024 11:54:29,24-06-2024 11:55:44,1m - 15.423s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:55:46,24-06-2024 11:55:46,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CollateralInformationWithout,Chrome 126.0.0.0,,,24-06-2024 11:55:46,24-06-2024 11:56:01,14.291s,PASSED
tabSection.CollateralInformation.collateralInformationForEncoderPaperBasedWithout(),Chrome 126.0.0.0,,,24-06-2024 11:55:46,24-06-2024 11:55:58,12.151s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:56:01,24-06-2024 11:56:01,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/LoanInformationWithoutAPI,Chrome 126.0.0.0,,,24-06-2024 11:56:01,24-06-2024 11:56:55,54.096s,PASSED
"tabSection.LoanInformation.loanInfoForEncoderPaperBased(marketingPromoCode, Downpayment_Amt, Actual_Cashout, loanTerm, insuranceType, loanPurpose, modeOfRelease, Scheduled_Unit_Release_Date, Actual_Unit_Release_Date, Total_CMFCollectedby_Dealer, Payment_Type, PaymentFrequency, Mode_Of_Payment)",Chrome 126.0.0.0,,,24-06-2024 11:56:01,24-06-2024 11:56:53,51.521s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:56:55,24-06-2024 11:56:55,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/DocumentChecklist,Chrome 126.0.0.0,,,24-06-2024 11:56:55,24-06-2024 11:57:02,7.475s,PASSED
tabSection.DocumentCheckList.documentCheckListForEncoderPaperBased(),Chrome 126.0.0.0,,,24-06-2024 11:56:55,24-06-2024 11:57:00,5.331s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 11:57:02,24-06-2024 11:57:02,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CheckEligibility,Chrome 126.0.0.0,,,24-06-2024 11:57:02,24-06-2024 12:00:13,3m - 11.110s,FAILED
tabSection.CheckEligibility.checkEligibilityForEncoderPaperBased(),Chrome 126.0.0.0,,,24-06-2024 11:57:02,24-06-2024 12:00:11,3m - 8.743s,FAILED
Video,Chrome 126.0.0.0,,,24-06-2024 12:00:13,24-06-2024 12:00:13,0.001s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Encoder/CreditEvaluation,Chrome 126.0.0.0,,,24-06-2024 12:00:13,24-06-2024 12:00:16,2.715s,PASSED
tabSection.CreditEvaluation.creditEvaluationForEncoderPaperBased(),Chrome 126.0.0.0,,,24-06-2024 12:00:13,24-06-2024 12:00:14,0.537s,PASSED
Video,Chrome 126.0.0.0,,,24-06-2024 12:00:16,24-06-2024 12:00:16,0.000s,PASSED
,,,,,,,
