Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PaperBasedPotalNSTP,Chrome 126.0.0.0,,,27-06-2024 14:52:23,27-06-2024 14:55:31,3m - 8.660s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LoginPage,Chrome 126.0.0.0,,,27-06-2024 14:52:23,27-06-2024 14:52:54,30.158s,PASSED
loginPage.LoginPage.login_Page(),Chrome 126.0.0.0,,,27-06-2024 14:52:25,27-06-2024 14:52:51,26.398s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:52:54,27-06-2024 14:52:54,0.005s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/HomePage,Chrome 126.0.0.0,,,27-06-2024 14:52:54,27-06-2024 14:53:02,8.112s,PASSED
homePage.homePage.homepage(),Chrome 126.0.0.0,,,27-06-2024 14:52:54,27-06-2024 14:53:00,5.586s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:53:02,27-06-2024 14:53:02,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/SelectPaperBased,Chrome 126.0.0.0,,,27-06-2024 14:53:02,27-06-2024 14:53:12,9.948s,PASSED
paperBasedPortal.SelectPaperBased.paperBased(),Chrome 126.0.0.0,,,27-06-2024 14:53:02,27-06-2024 14:53:10,7.507s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:53:12,27-06-2024 14:53:12,0.002s,PASSED
,,,,,,,
Test Cases/Paper_STPWithAndWithoutAPI/Portal/LetsgetStarted,Chrome 126.0.0.0,,,27-06-2024 14:53:12,27-06-2024 14:53:27,14.948s,PASSED
paperBasedPortal.letsGetStarted.letsGetStartedBtnFun(),Chrome 126.0.0.0,,,27-06-2024 14:53:12,27-06-2024 14:53:25,12.666s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:53:27,27-06-2024 14:53:27,0.002s,PASSED
,,,,,,,
Test Cases/Paper_NSTP/Portal/BorrowerDetail,Chrome 126.0.0.0,,,27-06-2024 14:53:27,27-06-2024 14:53:41,14.100s,PASSED
"paperBasedPortal.Borrower_Detail.borrower_DetailsNSTP(fst_Name, mid_Name, lst_Name, email, mob_Num, date, maritalStatus, suffix, residence)",Chrome 126.0.0.0,,,27-06-2024 14:53:28,27-06-2024 14:53:39,11.212s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:53:41,27-06-2024 14:53:41,0.003s,PASSED
,,,,,,,
Test Cases/Paper_NSTP/Portal/uploadDocument,Chrome 126.0.0.0,,,27-06-2024 14:53:41,27-06-2024 14:55:15,1m - 33.989s,PASSED
paperBasedPortal.UploadYourDocuments.uploadYourDocumentsPage(),Chrome 126.0.0.0,,,27-06-2024 14:53:41,27-06-2024 14:55:13,1m - 31.372s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:55:15,27-06-2024 14:55:15,0.003s,PASSED
,,,,,,,
Test Cases/Paper_NSTP/Portal/SubmitPage,Chrome 126.0.0.0,,,27-06-2024 14:55:15,27-06-2024 14:55:31,16.394s,PASSED
paperBasedPortal.SubmitPage.proceedToPreReleaseFunNSTP(),Chrome 126.0.0.0,,,27-06-2024 14:55:15,27-06-2024 14:55:29,13.895s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 14:55:31,27-06-2024 14:55:31,0.008s,PASSED
