Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VouchingInAO,Chrome 126.0.0.0,,,27-06-2024 16:57:32,27-06-2024 16:59:06,1m - 34.046s,PASSED
,,,,,,,
Test Cases/NSTP_VouchingMRAC/Vouching/loginPage,Chrome 126.0.0.0,,,27-06-2024 16:57:33,27-06-2024 16:57:53,20.115s,PASSED
accountOfficer.LoginForibpsAO.login(),Chrome 126.0.0.0,,,27-06-2024 16:57:34,27-06-2024 16:57:51,17.068s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 16:57:53,27-06-2024 16:57:53,0.001s,PASSED
,,,,,,,
Test Cases/NSTP_VouchingMRAC/Vouching/HomePage,Chrome 126.0.0.0,,,27-06-2024 16:57:53,27-06-2024 16:58:09,16.068s,PASSED
accountOfficer.HomePageForibpsAO.selectResistration(),Chrome 126.0.0.0,,,27-06-2024 16:57:53,27-06-2024 16:58:07,13.929s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 16:58:09,27-06-2024 16:58:09,0.001s,PASSED
,,,,,,,
Test Cases/NSTP_VouchingMRAC/Vouching/clientInfo,Chrome 126.0.0.0,,,27-06-2024 16:58:09,27-06-2024 16:58:20,11.541s,PASSED
tabSection.CustomerDetail.clientInformationCommon(),Chrome 126.0.0.0,,,27-06-2024 16:58:09,27-06-2024 16:58:18,9.360s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 16:58:20,27-06-2024 16:58:20,0.001s,PASSED
,,,,,,,
Test Cases/NSTP_VouchingMRAC/Vouching/Vouching,Chrome 126.0.0.0,,,27-06-2024 16:58:20,27-06-2024 16:58:35,14.234s,PASSED
tabSection.vouching.VouchingForAll(),Chrome 126.0.0.0,,,27-06-2024 16:58:20,27-06-2024 16:58:33,12.133s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 16:58:35,27-06-2024 16:58:35,0.001s,PASSED
,,,,,,,
Test Cases/NSTP_VouchingMRAC/Vouching/Action,Chrome 126.0.0.0,,,27-06-2024 16:58:35,27-06-2024 16:58:51,16.057s,PASSED
tabSection.Action.submitForAO(),Chrome 126.0.0.0,,,27-06-2024 16:58:35,27-06-2024 16:58:49,13.944s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 16:58:51,27-06-2024 16:58:51,0.002s,PASSED
,,,,,,,
Test Cases/LogOut/logout,Chrome 126.0.0.0,,,27-06-2024 16:58:51,27-06-2024 16:59:06,15.778s,PASSED
signOutibps.SignOut.logout(),Chrome 126.0.0.0,,,27-06-2024 16:58:51,27-06-2024 16:59:04,13.646s,PASSED
Video,Chrome 126.0.0.0,,,27-06-2024 16:59:06,27-06-2024 16:59:06,0.001s,PASSED
