Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SD_Approver,Edge Chromium 126,,,29-06-2024 18:57:23,29-06-2024 19:02:22,4m - 58.831s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/LoginPage,Edge Chromium 126,,,29-06-2024 18:57:24,29-06-2024 18:57:56,32.231s,PASSED
sdApprover.LoginForibpsSD_Approver.login(),Edge Chromium 126,,,29-06-2024 18:57:25,29-06-2024 18:57:54,28.640s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:57:56,29-06-2024 18:57:56,0.003s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/HomePage,Edge Chromium 126,,,29-06-2024 18:57:56,29-06-2024 18:58:15,19.416s,PASSED
sdApprover.HomePageForibpsSD_Approver.selectResistration(),Edge Chromium 126,,,29-06-2024 18:57:56,29-06-2024 18:58:13,16.950s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:58:15,29-06-2024 18:58:15,0.011s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/ClientInformation,Edge Chromium 126,,,29-06-2024 18:58:15,29-06-2024 18:58:54,39.067s,PASSED
tabSection.CustomerDetail.clientInformationForSD_Approver(),Edge Chromium 126,,,29-06-2024 18:58:16,29-06-2024 18:58:52,36.327s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:58:54,29-06-2024 18:58:54,0.010s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/LoanInformation,Edge Chromium 126,,,29-06-2024 18:58:54,29-06-2024 18:59:26,31.862s,PASSED
tabSection.LoanInformation.loanInfoCommon(),Edge Chromium 126,,,29-06-2024 18:58:55,29-06-2024 18:59:24,29.601s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:59:26,29-06-2024 18:59:26,0.008s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/DocumentChecklist,Edge Chromium 126,,,29-06-2024 18:59:26,29-06-2024 18:59:43,16.494s,PASSED
tabSection.DocumentCheckList.documentCheckListCommon(),Edge Chromium 126,,,29-06-2024 18:59:26,29-06-2024 18:59:41,14.294s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:59:43,29-06-2024 18:59:43,0.016s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/CollateralInformation,Edge Chromium 126,,,29-06-2024 18:59:43,29-06-2024 18:59:49,6.668s,PASSED
tabSection.CollateralInformation.collateralInformationCommon(),Edge Chromium 126,,,29-06-2024 18:59:43,29-06-2024 18:59:47,4.463s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:59:49,29-06-2024 18:59:49,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/CheckEligibility,Edge Chromium 126,,,29-06-2024 18:59:49,29-06-2024 19:00:10,20.139s,PASSED
tabSection.CheckEligibility.checkEligibilityCommon(),Edge Chromium 126,,,29-06-2024 18:59:50,29-06-2024 19:00:08,17.925s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:00:10,29-06-2024 19:00:10,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/CreditEvaluation,Edge Chromium 126,,,29-06-2024 19:00:10,29-06-2024 19:00:24,14.072s,PASSED
tabSection.CreditEvaluation.creditEvaluationCommon(),Edge Chromium 126,,,29-06-2024 19:00:10,29-06-2024 19:00:22,11.829s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:00:24,29-06-2024 19:00:24,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/Deviations,Edge Chromium 126,,,29-06-2024 19:00:24,29-06-2024 19:00:52,28.136s,PASSED
tabSection.Deviation.deviationForSD_Approve(),Edge Chromium 126,,,29-06-2024 19:00:24,29-06-2024 19:00:50,25.800s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:00:52,29-06-2024 19:00:52,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/CreditInvestigation,Edge Chromium 126,,,29-06-2024 19:00:52,29-06-2024 19:01:00,7.728s,PASSED
tabSection.CreditInvestigation.creditInvestigationForCommon(),Edge Chromium 126,,,29-06-2024 19:00:52,29-06-2024 19:00:57,5.441s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:01:00,29-06-2024 19:01:00,0.003s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/InsuranceInformation,Edge Chromium 126,,,29-06-2024 19:01:00,29-06-2024 19:01:14,14.727s,PASSED
tabSection.InsuranceInformation.insuranceInformationForCommon(),Edge Chromium 126,,,29-06-2024 19:01:00,29-06-2024 19:01:12,12.519s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:01:14,29-06-2024 19:01:14,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/DisbursementInformation,Edge Chromium 126,,,29-06-2024 19:01:14,29-06-2024 19:01:21,6.709s,PASSED
tabSection.DisbursementInfo.disbursementInformationForCommon(),Edge Chromium 126,,,29-06-2024 19:01:14,29-06-2024 19:01:19,4.510s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:01:21,29-06-2024 19:01:21,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/SystemInterfaceStatus,Edge Chromium 126,,,29-06-2024 19:01:21,29-06-2024 19:01:29,7.510s,PASSED
tabSection.SystemInterfaceStatus.systemInterfaceStatusForCommon(),Edge Chromium 126,,,29-06-2024 19:01:21,29-06-2024 19:01:26,5.290s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:01:29,29-06-2024 19:01:29,0.004s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/AlertSummary,Edge Chromium 126,,,29-06-2024 19:01:29,29-06-2024 19:01:36,7.858s,PASSED
tabSection.AlertsSummary.alertsSummaryForCommon(),Edge Chromium 126,,,29-06-2024 19:01:29,29-06-2024 19:01:34,5.537s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:01:36,29-06-2024 19:01:36,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForSD_Approver/Action,Edge Chromium 126,,,29-06-2024 19:01:36,29-06-2024 19:02:03,26.218s,PASSED
tabSection.Action.submitForAO(),Edge Chromium 126,,,29-06-2024 19:01:37,29-06-2024 19:02:01,23.957s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:02:03,29-06-2024 19:02:03,0.001s,PASSED
,,,,,,,
Test Cases/LogOut/logout,Edge Chromium 126,,,29-06-2024 19:02:03,29-06-2024 19:02:22,19.426s,PASSED
signOutibps.SignOut.logout(),Edge Chromium 126,,,29-06-2024 19:02:03,29-06-2024 19:02:20,17.209s,PASSED
Video,Edge Chromium 126,,,29-06-2024 19:02:22,29-06-2024 19:02:22,0.007s,PASSED
