Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testSuiteForCOMakerNSTP,Edge Chromium 126,,,29-06-2024 18:28:54,29-06-2024 18:34:26,5m - 32.168s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/LoginPage,Edge Chromium 126,,,29-06-2024 18:28:54,29-06-2024 18:29:25,31.206s,PASSED
coMaker.LoginForibpsCOMaker.login(),Edge Chromium 126,,,29-06-2024 18:28:56,29-06-2024 18:29:23,27.470s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:29:25,29-06-2024 18:29:25,0.003s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/HomePage,Edge Chromium 126,,,29-06-2024 18:29:25,29-06-2024 18:29:50,25.294s,PASSED
coMaker.HomePageForibpsCOMaker.selectResistration(),Edge Chromium 126,,,29-06-2024 18:29:25,29-06-2024 18:29:48,23.041s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:29:50,29-06-2024 18:29:50,0.004s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/ClientInformation,Edge Chromium 126,,,29-06-2024 18:29:51,29-06-2024 18:30:27,36.537s,PASSED
tabSection.CustomerDetail.clientInformationForCOMaker(),Edge Chromium 126,,,29-06-2024 18:29:51,29-06-2024 18:30:25,34.165s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:30:27,29-06-2024 18:30:27,0.003s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/LoanInformation,Edge Chromium 126,,,29-06-2024 18:30:27,29-06-2024 18:30:58,30.513s,PASSED
tabSection.LoanInformation.loanInfoForCOMakerForNSTP(),Edge Chromium 126,,,29-06-2024 18:30:27,29-06-2024 18:30:55,28.275s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:30:58,29-06-2024 18:30:58,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/DocumentChecklist,Edge Chromium 126,,,29-06-2024 18:30:58,29-06-2024 18:32:08,1m - 10.795s,PASSED
tabSection.DocumentCheckList.documentCheckListForCOMaker(),Edge Chromium 126,,,29-06-2024 18:30:58,29-06-2024 18:32:06,1m - 8.473s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:32:08,29-06-2024 18:32:08,0.003s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/CollateralInformation,Edge Chromium 126,,,29-06-2024 18:32:08,29-06-2024 18:32:15,6.707s,PASSED
tabSection.CollateralInformation.collateralInformationForCOMAker(),Edge Chromium 126,,,29-06-2024 18:32:09,29-06-2024 18:32:13,4.530s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:32:15,29-06-2024 18:32:15,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/CheckEligibility,Edge Chromium 126,,,29-06-2024 18:32:15,29-06-2024 18:32:32,17.353s,PASSED
tabSection.CheckEligibility.checkEligibilityForCOMaker(),Edge Chromium 126,,,29-06-2024 18:32:15,29-06-2024 18:32:30,15.131s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:32:32,29-06-2024 18:32:32,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/CreditEvaluation,Edge Chromium 126,,,29-06-2024 18:32:32,29-06-2024 18:33:01,28.378s,PASSED
tabSection.CreditEvaluation.creditEvaluationForCOMakerNSTP(),Edge Chromium 126,,,29-06-2024 18:32:33,29-06-2024 18:32:59,26.167s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:33:01,29-06-2024 18:33:01,0.001s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/Deviation,Edge Chromium 126,,,29-06-2024 18:33:01,29-06-2024 18:33:08,6.709s,PASSED
tabSection.Deviation.deviationForCOMaker(),Edge Chromium 126,,,29-06-2024 18:33:01,29-06-2024 18:33:06,4.509s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:33:08,29-06-2024 18:33:08,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/CreditInvestigation,Edge Chromium 126,,,29-06-2024 18:33:08,29-06-2024 18:33:17,8.981s,PASSED
tabSection.CreditInvestigation.creditInvestigationCOMaker(),Edge Chromium 126,,,29-06-2024 18:33:08,29-06-2024 18:33:15,6.711s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:33:17,29-06-2024 18:33:17,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/DisbursementInformation,Edge Chromium 126,,,29-06-2024 18:33:17,29-06-2024 18:33:24,7.724s,PASSED
tabSection.DisbursementInfo.disbursementInformationForCOMaker(),Edge Chromium 126,,,29-06-2024 18:33:17,29-06-2024 18:33:22,5.466s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:33:24,29-06-2024 18:33:24,0.001s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/SystemIntefaceStatus,Edge Chromium 126,,,29-06-2024 18:33:24,29-06-2024 18:33:32,7.573s,PASSED
tabSection.SystemInterfaceStatus.systemInterfaceStatusForCOMaker(),Edge Chromium 126,,,29-06-2024 18:33:24,29-06-2024 18:33:30,5.347s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:33:32,29-06-2024 18:33:32,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/AlertSummary,Edge Chromium 126,,,29-06-2024 18:33:32,29-06-2024 18:33:39,7.311s,PASSED
tabSection.AlertsSummary.alertsSummaryForCOMaker(),Edge Chromium 126,,,29-06-2024 18:33:32,29-06-2024 18:33:37,5.111s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:33:39,29-06-2024 18:33:39,0.002s,PASSED
,,,,,,,
Test Cases/Digital_NSTP/testCaseForCOMaker/Action,Edge Chromium 126,,,29-06-2024 18:33:39,29-06-2024 18:34:06,26.641s,PASSED
tabSection.Action.submitForAO(),Edge Chromium 126,,,29-06-2024 18:33:39,29-06-2024 18:34:04,24.400s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:34:06,29-06-2024 18:34:06,0.002s,PASSED
,,,,,,,
Test Cases/LogOut/logout,Edge Chromium 126,,,29-06-2024 18:34:06,29-06-2024 18:34:26,19.811s,PASSED
signOutibps.SignOut.logout(),Edge Chromium 126,,,29-06-2024 18:34:06,29-06-2024 18:34:24,17.570s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:34:26,29-06-2024 18:34:26,0.002s,PASSED
