Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testSuiteNSTPPreAndPost,Edge Chromium 126,,,29-06-2024 18:40:37,29-06-2024 18:50:18,9m - 41.397s,PASSED
,,,,,,,
Test Cases/Digital_STPWithAndWithoutAPI/DigitalPotal/LoginPage,Edge Chromium 126,,,29-06-2024 18:40:37,29-06-2024 18:41:06,28.837s,PASSED
loginPage.LoginPage.login_Page(),Edge Chromium 126,,,29-06-2024 18:40:39,29-06-2024 18:41:04,25.121s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:41:06,29-06-2024 18:41:06,0.006s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForManageLoanPreAndPost/homepage,Edge Chromium 126,,,29-06-2024 18:41:06,29-06-2024 18:42:03,56.514s,PASSED
autoLoanProtal.SelectManageLoans.selectToManageLoan(),Edge Chromium 126,,,29-06-2024 18:41:07,29-06-2024 18:42:01,54.166s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:42:03,29-06-2024 18:42:03,0.004s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForPreAndPost/ApplicationPageForPreAndPost,Edge Chromium 126,,,29-06-2024 18:42:03,29-06-2024 18:42:54,51.256s,PASSED
"tabSection.ApplicationSection.applicationSectionTab(show, sortBy)",Edge Chromium 126,,,29-06-2024 18:42:03,29-06-2024 18:42:52,48.772s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:42:54,29-06-2024 18:42:54,0.003s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForPreAndPost/CustomerDetailForPreRelease,Edge Chromium 126,,,29-06-2024 18:42:54,29-06-2024 18:43:35,40.880s,PASSED
tabSection.CustomerDetail.clientInformationForPreRelease(),Edge Chromium 126,,,29-06-2024 18:42:55,29-06-2024 18:43:33,38.282s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:43:35,29-06-2024 18:43:35,0.002s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForPreAndPost/LoanInformationForPreRelease,Edge Chromium 126,,,29-06-2024 18:43:35,29-06-2024 18:45:28,1m - 52.387s,PASSED
"tabSection.LoanInformation.loanInfoForPreRelease(marketingPromoCode, loanPurpose, modeOfRelease, scheduleUnitReleaseDate, actualUnitReleaseDate, paymentType, paymentFrequecy, modeOfPayment, effectiveDateOfAda, accountNumber, accountName)",Edge Chromium 126,,,29-06-2024 18:43:36,29-06-2024 18:45:26,1m - 49.734s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:45:28,29-06-2024 18:45:28,0.002s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForPreAndPost/DocumentChecklistForPreReleasePaperbasedNSTP,Edge Chromium 126,,,29-06-2024 18:45:28,29-06-2024 18:47:57,2m - 29.205s,PASSED
tabSection.DocumentCheckList.documentCheckListForPreReleaseNSTP(),Edge Chromium 126,,,29-06-2024 18:45:28,29-06-2024 18:47:55,2m - 26.735s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:47:57,29-06-2024 18:47:57,0.002s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForPreAndPost/CollateralInformationForPreRelease,Edge Chromium 126,,,29-06-2024 18:47:57,29-06-2024 18:48:08,10.964s,PASSED
"tabSection.CollateralInformation.collateralInformationForPreRelease(serialOrChessisNum, motorOrEngineNum, conductionSticker)",Edge Chromium 126,,,29-06-2024 18:47:57,29-06-2024 18:48:06,8.590s,PASSED
Video,Edge Chromium 126,,,29-06-2024 18:48:08,29-06-2024 18:48:08,0.001s,PASSED
,,,,,,,
Test Cases/Base_Scripts/TestCaseForPreAndPost/DisbursmentInfoNew,Edge Chromium 126,,,29-06-2024 18:48:08,29-06-2024 18:48:48,39.787s,PASSED
